#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights";"IsInherited"
"D:\FS\PL\acc\ACC_JBC\GROUP_KAN";"WORK\Security - Poznan - Folder - Group KAN - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_KRE";"WORK\Security - Poznan - Folder - Group KRE - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_MMG";"WORK\Security - Poznan - Folder - Group DKS - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\Archived\GROUP_MAM";"WORK\Security - Poznan - Folder - Group MAM - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_KAN\OTHER_KAN";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_KAN\OTHER_KAN";"WORK\Security - Poznan - Folder - Group KAN - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_KRE\OTHER_KRE";"WORK\Security - Poznan - Folder - Group KRE - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_MMG\OTHER_MMG";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\GROUP_MMG\OTHER_MMG";"WORK\Security - Poznan - Folder - Group DKS - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\COMMON_MKT";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ADR";"WORK\Security - Cracow - Folder - Group ADR - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ASI";"WORK\Security - Cracow - Folder - Group ASI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MPA";"WORK\Security - Cracow - Folder - Group MPA - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MWO";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MWO";"WORK\Security - Cracow - Folder - Group MWO - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ADR\OTHER_ADR";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ADR\OTHER_ADR";"WORK\Security - Cracow - Folder - Group ADR - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ASI\OTHER_ASI";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_ASI\OTHER_ASI";"WORK\Security - Cracow - Folder - Group ASI - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MPA\OTHER_MPA";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MPA\OTHER_MPA";"WORK\Security - Cracow - Folder - Group MPA - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MKT\GROUP_MWO\OTHER_MPA";"WORK\Security - Cracow - Folder - Group MWO - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MRZ\GROUP_RLY";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MRZ\GROUP_RLY";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MRZ\GROUP_RLY";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MRZ\GROUP_RLY";"WORK\Security - Warsaw - Folder - Group RLY - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MRZ\Project ADK";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MRZ\Project ADK";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MRZ\Project ADK";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MRZ\Project ADK";"WORK\kaczmareka";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MRZ\Project ADK";"WORK\rozyckam";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group EZE - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group KHA - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group KSW - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group MFK - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group MJC - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group MMT - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\COMMON_MWE";"WORK\Security - Warsaw - Folder - Group MOR - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\barnaj";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\kalinsa";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\bartosa";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\Security - Warsaw - Folder - Group EZE - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\Security - Wroclaw - Folder - Group AZB - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\Security - Warsaw - Folder - Group MFK - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\mertad";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\zychalm";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\baranon";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE";"WORK\sokolowskai";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KHA";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KHA";"BUILTIN\Administrators";"FullControl";"False"
